143/467/617/F|rikswift123||CF,CB,CFNG,CBNG
154/470/521|gtw123||
182/262/145/F|llamadeus||
183/235/155/F|notgreat||
193/215/124|rolamni||
218/144/83|isaac.wass|https://i.imgur.com/BY1sTvA.gif|
362/123/69|isaac.wass|https://i.imgur.com/Z3gJZlK.gif|
665/133/22|isaac.wass|https://i.imgur.com/lRgb0sy.gif|
1137/155/10/F|notgreat||
1376/51/121|isaac.wass|https://i.imgur.com/f7mfyd2.mp4|FC,FB,FIC,FIB
2754/142/8|isaac.wass|https://i.imgur.com/DJ457E6.mp4|
10025/310/3|isaac.wass|https://i.imgur.com/wI6o5hy.mp4|BC,BF,BIC,BIF
