54/1375/984/GF|gtw123|https://youtu.be/PL9qXy5YY8c|CF,CB
67/692/484/GF|ToughThought||
77/540/449/F|ToughThought|https://i.imgur.com/GHDky5k.gifv,https://i.imgur.com/NqBvtGy.gifv,https://i.imgur.com/8adTYXB.gifv|CFNG,CBNG
83/519/347|caeonosphere||
106/241/184|ItBeCharlie||
117/136/140/F|DarkMatter_Zombie||
119/140/144|bsmith_81||
127/151/137/F|DarkMatter_Zombie||
137/146/134/F|DarkMatter_Zombie||
279/120/223|SirDredgery||
342/344/37/F|Magma||
348/100/181|ToughThought||
465/240/71/F|OracleOfEpirus||
630/261/67/F|hoboshoe||
662/284/20|SirDredgery||
740/543/9|yifeixuer|https://imgur.com/jZND2WU,https://imgur.com/2JaWRlo|BC,BF,BNC,BNF
799/96/261|Xavr0k|https://cdn.discordapp.com/attachments/1005700008273780809/1203417867517698118/2024-02-04-06-09-10.gif,https://cdn.discordapp.com/attachments/1005700008273780809/1203417867111112774/2024-02-04-06-11-22.gif|FC,FB,FIC,FIB
988/115/64/F|wlivi||
1370/117/46/F|wlivi||
