94/543/651/G|ToughThought||CF
94/579/535/G|Xavr0k|https://cdn.discordapp.com/attachments/1005700008273780809/1203221033155301436/2024-02-03-17-05-38.gif,https://cdn.discordapp.com/attachments/1005700008273780809/1203221032761167882/2024-02-03-17-06-49.gif|CB
105/156/34/GF|Magma||
105/353/208|gtw123|https://imgur.com/a/vjusk|CFNG,CBNG
106/170/61|Entity||
119/56/85|Kaisy||
120/41/47|SirDredgery||
122/39/15/F|DarkMatter_Zombie||
136/70/35|bsmith_81||
149/36/22|Community|https://i.imgur.com/O9xyMOE.gif,https://i.imgur.com/qTuqZSM.gifv|FC,FIC
152/39/18|bsmith_81||
168/37/11/F|wlivi||
174/36/10|Community|https://i.imgur.com/RRvIsiG.gif,https://i.imgur.com/QN2bUuQ.gifv|
179/39/9|ItBeCharlie||
180/36/9/F|lavalamp||FB,FIB
215/45/6/F|Magma||
219/43/7/F|wlivi||
223/41/8|Pineapple|https://cdn.discordapp.com/attachments/1209843628193620009/1209995865553637408/2024-02-21-04-22-25.gif?ex=65e8f376&is=65d67e76&hm=4221e5c9ca0548e19c861c81e7ae28272188473898cbfb7981ec3759c7f36f45&|
228/38/7|yut23|https://imgur.com/a/nHaxhhX|
253/44/6|wl||
329/42/5|Entity|https://i.imgur.com/Y5DD8S8.gif,https://i.imgur.com/VgNfo70.gifv|BC,BF,BNC,BNF
