67/2254/881/G|andy75381/gtw123||CF,CB
73/1828/549|gtw123|https://imgur.com/a/deIT6|CFNG,CBNG
103/397/68|vpumeyyv||
138/312/38/F|DarkMatter_Zombie||
157/308/51/F|DarkMatter_Zombie||
162/303/85/F|anningmay||
210/292/58/F|Pineapple||
247/313/36/F|isaac.wass||
360/309/32/F|Pineapple||
574/328/64|wl||
721/357/19/F|Snowball||
729/334/17|wl||
1368/585/8|Xavr0k|https://cdn.discordapp.com/attachments/1005700008273780809/1203885166590955640/2024-02-05-13-08-13.gif|BC,BF,BNC,BNF
?/87/?/F|myugaru||FC,FB,FIC,FIB
